,date,actiontime,temperature,SimulatedTemperature,TimeHeaterOn
0,1/4,15:30,17.75,22.777895,2:30
1,2/4,15:30,14.65,20.923756,2:30
2,3/4,15:30,17.35,22.51735,2:30
3,4/4,15:30,24.35,None,None
4,5/4,15:30,21.95,None,None
5,6/4,15:30,12.45,19.567863,2:30
6,7/4,15:30,16.05,21.732195,2:30
7,8/4,15:30,11.4,18.946424,2:30
8,9/4,15:30,7.6,17.875525,2:30
9,10/4,15:30,10.55,18.489882,2:30
10,11/4,15:30,10.65,18.556223,2:30
11,12/4,15:30,7.15,17.805288,2:30
12,13/4,15:30,9.2,18.220728,2:30
13,14/4,15:30,7.55,17.875525,2:30
14,15/4,15:30,8.0,17.945356,2:30
15,16/4,15:30,7.65,17.875525,2:30
16,17/4,15:30,11.85,19.199236,2:30
17,18/4,15:30,13.9,20.436552,2:30
18,19/4,15:30,16.65,22.110641,2:30
19,20/4,15:30,21.0,None,None
20,21/4,15:30,21.8,None,None
21,22/4,15:30,18.65,23.31484,2:30
22,23/4,15:30,13.0,19.924177,2:30
23,24/4,15:30,6.95,17.734667,2:30
24,25/4,15:30,13.25,20.040297,2:30
25,26/4,15:30,6.7,17.734667,2:30
26,27/4,15:30,9.55,18.220728,2:30
27,28/4,15:30,5.75,17.52035,2:30
28,29/4,15:30,5.6,17.52035,2:30
29,30/4,15:30,7.45,17.875525,2:30
